Event	ID	Name			Wwise Object Path	Notes
	76044170	Play_Player_Slap			\PapaPlease\Player\Play_Player_Slap	
	98439365	Play_Player_Footsteps			\PapaPlease\Player\Play_Player_Footsteps	
	2284278951	Stop_Player_Footsteps			\PapaPlease\Player\Stop_Player_Footsteps	
	3374816280	Stop_Player_Slap			\PapaPlease\Player\Stop_Player_Slap	

Switch Group	ID	Name			Wwise Object Path	Notes
	2722341167	Player_Slap			\Default Work Unit\Player_Slap	

Switch	ID	Name	Switch Group			Notes
	841620460	Concrete	Player_Slap			
	1115957451	Kid	Player_Slap			
	2058049674	Wood	Player_Slap			
	4248742144	Nothing	Player_Slap			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	107132586	Player_SlapKid_01_v2	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Kids\Player_SlapKid_01_v2_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Kids\Player_SlapKid_01_v2		5062
	171004212	Player_Foosteps	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Foosteps_DECF35AE.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Footsteps\Footsteps\Footstep_L\Player_Foosteps		3878
	199418373	Player_SlapConcrete_02	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_02_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_02		8657
	234505401	Player_SlapWood_05	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Wood\Player_SlapWood_05_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Wood\Player_SlapWood_05		7878
	258080921	Player_SlapKid_05_v2	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Kids\Player_SlapKid_05_v2_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Kids\Player_SlapKid_05_v2		4351
	299378268	Player_SlapWood_03	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Wood\Player_SlapWood_03_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Wood\Player_SlapWood_03		7712
	302875241	Player_SlapConcrete_04	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_04_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_04		8900
	326098141	Player_Foosteps_04	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Foosteps_4DADCB87.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Footsteps\Footsteps\Footstep_L\Player_Foosteps_04		3366
	328017277	Player_SlapNothing_05	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap_Nothing\Player_SlapNothing_05_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Nothing\Player_SlapNothing_05		3763
	340403617	Player_Foosteps	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Foosteps_668597CE.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Footsteps\Footsteps\Footstep_R\Player_Foosteps		3794
	346396162	Player_Foosteps_05	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Foosteps_A5C74427.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Footsteps\Footsteps\Footstep_L\Player_Foosteps_05		3378
	377243309	Player_SlapKid_03_v2	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Kids\Player_SlapKid_03_v2_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Kids\Player_SlapKid_03_v2		4523
	412528245	Player_SlapWood_01	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Wood\Player_SlapWood_01_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Wood\Player_SlapWood_01		6730
	427827430	Player_SlapWood_04	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Wood\Player_SlapWood_04_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Wood\Player_SlapWood_04		6584
	454683484	Player_SlapNothing_01	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap_Nothing\Player_SlapNothing_01_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Nothing\Player_SlapNothing_01		5020
	468389400	Player_Foosteps_02	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Foosteps_60501A71.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Footsteps\Footsteps\Footstep_R\Player_Foosteps_02		3501
	509307203	Player_Foosteps_03	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Foosteps_8C3BC383.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Footsteps\Footsteps\Footstep_R\Player_Foosteps_03		3411
	548995467	Player_SlapConcrete_01	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_01_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_01		9213
	557195830	Player_SlapConcrete_03	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_03_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_03		8869
	565132539	Player_Foosteps_03	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Foosteps_6AB1E22B.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Footsteps\Footsteps\Footstep_L\Player_Foosteps_03		3398
	682061179	Player_SlapKid_04_v2	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Kids\Player_SlapKid_04_v2_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Kids\Player_SlapKid_04_v2		4756
	692350725	Player_SlapConcrete_05	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Mac\SFX\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_05_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_05		8796
