Event	ID	Name			Wwise Object Path	Notes
	1730208058	Player_Footsteps			\PapaPlease\Player\Player_Footsteps	
	2722341167	Player_Slap			\PapaPlease\Player\Player_Slap	
	3855133085	Player_Shower_Off			\PapaPlease\Player\Player_Shower_Off	
	4187592433	Player_Shower_On			\PapaPlease\Player\Player_Shower_On	

Switch Group	ID	Name			Wwise Object Path	Notes
	2722341167	Player_Slap			\Default Work Unit\Player_Slap	

Switch	ID	Name	Switch Group			Notes
	841620460	Concrete	Player_Slap			
	1115957451	Kid	Player_Slap			
	2058049674	Wood	Player_Slap			
	4248742144	Nothing	Player_Slap			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	83966451	AI_Cooking_Slice_01	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\AI_Cooking\AI_Cooking_Slice_02_1FF931E5.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Cooking\AI_Cooking_Slicing\AI_CookingSlice_Fast\AI_Cooking_Slice_01		40244
	104877949	AI_Shower_On_02	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\AI_Shower\AI_Shower_On\AI_Shower_On_02_94C934D6.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Shower\Player_Shower\Player_Shower_On\AI_Shower_On_02		74759
	107132586	Player_SlapKid_01_v2	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\Player_Slap\Player_Slap_Kids\Player_SlapKid_01_v2_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Kids\Player_SlapKid_01_v2		5062
	134787427	AI_Shower_Lp	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\AI_Shower\AI_Shower_Lp\AI_Shower_Lp_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Shower\Player_Shower\Player_Shower_Lp\AI_Shower_Lp		477620
	171004212	Player_Foosteps	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\Player_Foosteps_7466DE53.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Footsteps\Footseps\Footstep_L\Player_Foosteps		5600
	199418373	Player_SlapConcrete_02	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_02_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_02		8657
	218301121	Player_FlushToilet_01	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\AI_Flush\AI_FlushToilet_01_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Flush\Player_FlushToilet_01		54626
	234505401	Player_SlapWood_05	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\Player_Slap\Player_Slap_Wood\Player_SlapWood_05_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Wood\Player_SlapWood_05		7878
	255065438	AI_Cooking_Slice_05	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\AI_Cooking\AI_Cooking_Slice_02_39FB75A7.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Cooking\AI_Cooking_Slicing\AI_CookingSlice_Fast\AI_Cooking_Slice_05		20316
	258080921	Player_SlapKid_05_v2	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\Player_Slap\Player_Slap_Kids\Player_SlapKid_05_v2_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Kids\Player_SlapKid_05_v2		4351
	270437183	AI_Shower_Off_01	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\AI_Shower\AI_Shower_Off\AI_Shower_Off_01_DF51C376.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Shower\Player_Shower\Player_Shower_Off\AI_Shower_Off_01		58445
	299378268	Player_SlapWood_03	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\Player_Slap\Player_Slap_Wood\Player_SlapWood_03_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Wood\Player_SlapWood_03		7712
	302875241	Player_SlapConcrete_04	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_04_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Concrete\Player_SlapConcrete_04		8900
	326098141	Player_Foosteps_04	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\Player_Foosteps_66507638.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Footsteps\Footseps\Footstep_L\Player_Foosteps_04		6526
	328017277	Player_SlapNothing_05	D:\Boulot\GameJam\LD43\PapaPlease\PapaPlease_WwiseProject\.cache\Windows\SFX\Player_Slap_Nothing\Player_SlapNothing_05_F52F4675.wem		\Actor-Mixer Hierarchy\PapaPlease\Player\Player_Slap\Player_Slap_Nothing\Player_SlapNothing_05		3763
